pubDate,continent(English)Name	,country(English)Name	,province(English)Name	,provinceShortName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,cities,updateTime
,,,,纳米比亚,2253,51218,0,48247,718,,,1621216882650
,,,,埃及,49916,245721,0,181478,14327,,,1621216882650
,,,,斯威士兰,14911,18519,0,2936,672,,,1621216882650
,,,,俄罗斯,268301,4940245,0,4556073,115871,,,1621216882650
,,,,黑山,1393,98852,0,95898,1561,,,1621216882650
,,,,斯洛伐克,119999,387523,0,255300,12224,,,1621216882650
,,,,阿根廷,284164,3307222,0,2952536,70522,,,1621216882650
,,,,马达加斯加,2370,40005,0,36881,754,,,1621216882650
,,,,摩纳哥,27,2493,0,2434,32,,,1621216882650
,,,,沙特阿拉伯,8363,432269,0,416759,7147,,,1621216882650
,,,,蒙古,7535,48642,0,40900,207,,,1621216882650
,,,,巴西,1094365,15627475,0,14097287,435823,,,1621216882650
,,,,塞浦路斯,68496,70899,0,2057,346,,,1621216882650
,,,,乌拉圭,27715,240512,0,209338,3459,,,1621216882650
,,,,比利时,986146,1030071,0,19239,24686,,,1621216882650
,,,,菲律宾,54904,1143963,0,1069868,19191,,,1621216882650
,,,,圣文森特和格林纳丁斯,1773,1932,0,147,12,,,1621216882650
,,,,波多黎各,133995,136426,0,0,2431,,,1621216882650
,,,,丹麦,13050,266503,0,250951,2502,,,1621216882650
,,,,卡塔尔,5531,213138,0,207077,530,,,1621216882650
,,,,以色列,1257,839119,0,831480,6382,,,1621216882650
,,,,越南,1471,4175,0,2668,36,,,1621216882650
,,,,莱索托,4043,10790,0,6427,320,,,1621216882650
,,,,圣卢西亚,227,4818,0,4516,75,,,1621216882650
,,,,萨尔瓦多,2389,71479,0,66903,2187,,,1621216882650
,,,,摩尔多瓦,2961,253845,0,244857,6027,,,1621216882650
,,,,法罗群岛,2,670,0,667,1,,,1621216882650
,,,,塞尔维亚,705264,813261,0,99096,8901,,,1621216882650
,,,,古巴,6990,124454,0,116660,804,,,1621216882650
,,,,关岛,101,8091,0,7851,139,,,1621216882650
,,,,德国,229992,3602939,0,3286216,86731,,,1621216882650
,,,,尼日利亚,7230,165709,0,156413,2066,,,1621216882650
,,,,罗马尼亚,17231,1071899,0,1025145,29523,,,1621216882650
,,,,叙利亚,2684,23693,0,19316,1693,,,1621216882650
,,,,拉脱维亚,8481,127978,0,117231,2266,,,1621216882650
,,,,洪都拉斯,137449,225964,0,82561,5954,,,1621216882650
,,,,约旦,3692,723345,0,710410,9243,,,1621216882650
,,,,厄立特里亚,155,3844,0,3654,35,,,1621216882650
,,,,阿塞拜疆,10164,329843,0,314900,4779,,,1621216882650
,,,,马尔代夫,15673,43782,0,28013,96,,,1621216882650
,,,,加拿大,70802,1326596,0,1230854,24940,,,1621216882650
,,,,也门共和国,4906,6542,0,350,1286,,,1621216882650
,,,,奥地利,10475,637097,0,616148,10474,,,1621216882650
,,,,乌兹别克斯坦,5026,96670,0,90976,668,,,1621216882650
,,,,缅甸,7738,143065,0,132115,3212,,,1621216882650
,,,,阿尔巴尼亚,5271,132015,0,124312,2432,,,1621216882650
,,,,阿联酋,18249,546182,0,526302,1631,,,1621216882650
,,,,印度,3618458,24684077,0,20795335,270284,,,1621216882650
,,,,博茨瓦纳,5756,52162,0,45645,761,,,1621216882650
,,,,几内亚,2242,22734,0,20341,151,,,1621216882650
,,,,不丹,124,1279,0,1154,1,,,1621216882650
,,,,科威特,12116,291629,0,277820,1693,,,1621216882650
,,,,巴拿马,5299,370533,0,358938,6296,,,1621216882650
,,,,肯尼亚,48850,165465,0,113612,3003,,,1621216882650
,,,,法属圭亚那,21357,21465,0,0,108,,,1621216882650
,,,,爱沙尼亚,7153,127053,0,118678,1222,,,1621216882650
,,,,匈牙利,143884,798147,0,625088,29175,,,1621216882650
,,,,阿鲁巴,88,10854,0,10662,104,,,1621216882650
,,,,乍得,49,4901,0,4679,173,,,1621216882650
,,,,柬埔寨,9914,22184,0,12120,150,,,1621216882650
,,,,波兰,181441,2854079,0,2600974,71664,,,1621216882650
,,,,几内亚比绍,281,3746,0,3398,67,,,1621216882650
,,,,葡萄牙,22275,842182,0,802900,17007,,,1621216882650
,,,,巴巴多斯,2,3965,0,3917,46,,,1621216882650
,,,,阿富汗,6167,63598,0,54686,2745,,,1621216882650
,,,,特克斯和凯科斯群岛,20,2404,0,2367,17,,,1621216882650
,,,,北马里亚纳群岛联邦,139,173,0,32,2,,,1621216882650
,,,,巴基斯坦,68819,877130,0,788768,19543,,,1621216882650
,,,,格鲁吉亚,17112,330375,0,308821,4442,,,1621216882650
,,,,马拉维,804,34214,0,32210,1200,,,1621216882650
,,,,东帝汶,2004,4279,0,2267,8,,,1621216882650
,,,,埃塞俄比亚,42702,266264,0,219566,3996,,,1621216882650
,,,,秘鲁,5599,1879049,0,1807842,65608,,,1621216882650
,,,,泰国,35055,101447,0,65803,589,,,1621216882650
,,,,孟加拉国,45974,780159,0,722036,12149,,,1621216882650
,,,,卢旺达,1062,26099,0,24694,343,,,1621216882650
,,,,捷克,30676,1652840,0,1592263,29901,,,1621216882650
,,,,乌克兰,248065,2153864,0,1857724,48075,,,1621216882650
,,,,韩国,8224,132290,0,122163,1903,,,1621216882650
,,,,特立尼达和多巴哥,5558,15899,0,10065,276,,,1621216882650
,,,,尼日尔,185,5330,0,4953,192,,,1621216882650
,,,,北马其顿,3636,154698,0,145851,5211,,,1621216882650
,,,,南非,34166,1613728,0,1524352,55210,,,1621216882650
,,,,英国,4298473,4450777,0,539,151765,,,1621216882650
,,,,伊拉克,78177,1139373,0,1045240,15956,,,1621216882650
,,,,克罗地亚,6232,350390,0,336450,7708,,,1621216882650
,,,,布隆迪共和国,4319,4329,0,4,6,,,1621216882650
,,,,斐济,49,172,0,119,4,,,1621216882650
,,,,赞比亚共和国,360,92436,0,90816,1260,,,1621216882650
,,,,科特迪瓦,291,46619,0,46031,297,,,1621216882650
,,,,斯里兰卡,23483,142746,0,118322,941,,,1621216882650
,,,,亚美尼亚,8083,220860,0,208454,4323,,,1621216882650
,,,,库拉索岛,7688,12244,0,4438,118,,,1621216882650
,,,,阿尔及利亚,34691,125194,0,87137,3366,,,1621216882650
,,,,巴拉圭,45592,313527,0,260339,7596,,,1621216882650
,,,,白俄罗斯,6543,376341,0,367097,2701,,,1621216882650
,,,,危地马拉,12709,241117,0,220536,7872,,,1621216882650
,,,,苏里南,1420,11828,0,10184,224,,,1621216882650
,,,,厄瓜多尔,35931,410129,0,354499,19699,,,1621216882650
,,,,布基纳法索,32,13395,0,13199,164,,,1621216882650
,,,,多哥,1258,13265,0,11882,125,,,1621216882650
,,,,土耳其,129487,5106862,0,4932838,44537,,,1621216882650
,,,,法国,5416772,5877787,0,353370,107645,,,1621216882650
,,,,印度尼西亚,90800,1739750,0,1600857,48093,,,1621216882650
,,,,圣多美和普林西比,18,2327,0,2274,35,,,1621216882650
,,,,巴勒斯坦,9044,303658,0,291191,3423,,,1621216882650
,,,,南苏丹,74,10652,0,10462,116,,,1621216882650
,,,,希腊,364202,377090,0,1473,11415,,,1621216882650
,,,,马来西亚,41889,470110,0,426319,1902,,,1621216882650
,,,,澳大利亚,1706,29975,0,27359,910,,,1621216882650
,,,,哥伦比亚,119578,3118426,0,2917548,81300,,,1621216882650
,,,,荷属圣马丁,32,2282,0,2223,27,,,1621216882650
,,,,荷兰,1568829,1598164,0,11886,17449,,,1621216882650
,,,,墨西哥,264634,2386393,0,1901322,220437,,,1621216882650
,,,,毛里塔尼亚,293,18806,0,18056,457,,,1621216882650
,,,,智利,38365,1286548,0,1220351,27832,,,1621216882650
,,,,英属维尔京群岛,56,248,0,191,1,,,1621216882650
,,,,芬兰,58174,90105,0,31000,931,,,1621216882650
,,,,摩洛哥,2835,514817,0,502884,9098,,,1621216882650
,,,,科摩罗,85,3930,0,3699,146,,,1621216882650
,,,,利比里亚,81,2128,0,1962,85,,,1621216882650
,,,,毛里求斯,137,1288,0,1134,17,,,1621216882650
,,,,佛得角,3022,27951,0,24683,246,,,1621216882650
,,,,马里,4452,14190,0,9227,511,,,1621216882650
,,,,哈萨克斯坦,286129,412236,0,121347,4760,,,1621216882650
,,,,意大利,328882,4159122,0,3706084,124156,,,1621216882650
,,,,尼泊尔,110263,455020,0,339756,5001,,,1621216882650
,,,,挪威,29460,119186,0,88952,774,,,1621216882650
,,,,莫桑比克,891,70442,0,68725,826,,,1621216468486
,,,,突尼斯,27113,325832,0,286940,11779,,,1621216468486
,,,,阿曼,12966,205501,0,190342,2193,,,1621216468486
,,,,瑞士,351731,679510,0,317600,10179,,,1621216468486
,,,,刚果（金）,3183,30562,0,26603,776,,,1621216468486
,,,,中国,935,104428,0,98635,4858,,,1621216468486
,,,,塞内加尔,152,40850,0,39573,1125,,,1621216468486
,,,,塞拉利昂,924,4107,0,3104,79,,,1621216468486
,,,,吉尔吉斯斯坦,5168,100473,0,93602,1703,,,1621216468486
,,,,瑞典,1017880,1037126,0,4971,14275,,,1621216468486
,,,,吉布提,17,11434,0,11266,151,,,1621216468486
,,,,乌干达,461,42779,0,41971,347,,,1621216468486
,,,,圣马力诺,29,5087,0,4968,90,,,1621216468486
,,,,伊朗,448108,2751166,0,2226122,76936,,,1621216468486
,,,,黎巴嫩,31835,535753,0,496298,7620,,,1621216468486
,,,,老挝,1015,1591,0,574,2,,,1621216468486
,,,,中非共和国,1659,6866,0,5112,95,,,1621216468486
,,,,马恩岛,116,1590,0,1445,29,,,1621216468486
,,,,牙买加,23335,47319,0,23124,860,,,1621216468486
,,,,爱尔兰,224507,254870,0,25422,4941,,,1621216468486
,,,,委内瑞拉,13816,214231,0,198033,2382,,,1621216468486
,,,,玻利维亚,46994,329733,0,269288,13451,,,1621216468486
,,,,巴林,15815,199093,0,182535,743,,,1621216468486
,,,,直布罗陀,5,4291,0,4192,94,,,1621216468486
,,,,塔吉克斯坦,-405,13714,0,13218,901,,,1621216294539
,,,,澳门,1,50,9,49,0,确诊病例中含9例境外输入病例,[],1621216294539
,,,,索马里,7408,14486,0,6325,753,,,1621216294539
,,,,冈比亚,97,5946,0,5674,175,,,1621216294539
,,,,多米尼加,39778,276272,0,232925,3569,,,1621216294539
,,,,安哥拉,4049,30354,0,25650,655,,,1621216294539
,,,,圭亚那,1960,14988,0,12693,335,,,1621216294539
,,,,巴布亚新几内亚,2758,13928,0,11034,136,,,1621216294539
,,,,冰岛,63,6537,0,6445,29,,,1621216294539
,,,,巴哈马,889,11073,0,9967,217,,,1621216294539
,,,,湖南,5,1047,0,1038,4,,"[{'cityName': '境外输入', 'currentConfirmedCount': 5, 'confirmedCount': 29, 'suspectedCount': 0, 'curedCount': 24, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 0, 'currentConfirmedCountStr': '5'}, {'cityName': '长沙', 'currentConfirmedCount': 0, 'confirmedCount': 242, 'suspectedCount': 0, 'curedCount': 240, 'deadCount': 2, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 430100, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Changsha'}, {'cityName': '岳阳', 'currentConfirmedCount': 0, 'confirmedCount': 156, 'suspectedCount': 0, 'curedCount': 155, 'deadCount': 1, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 430600, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Yueyang'}, {'cityName': '邵阳', 'currentConfirmedCount': 0, 'confirmedCount': 102, 'suspectedCount': 0, 'curedCount': 101, 'deadCount': 1, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 430500, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Shaoyang'}, {'cityName': '常德', 'currentConfirmedCount': 0, 'confirmedCount': 82, 'suspectedCount': 0, 'curedCount': 82, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 430700, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Changde'}, {'cityName': '株洲', 'currentConfirmedCount': 0, 'confirmedCount': 80, 'suspectedCount': 0, 'curedCount': 80, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 430200, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Zhuzhou'}, {'cityName': '娄底', 'currentConfirmedCount': 0, 'confirmedCount': 76, 'suspectedCount': 0, 'curedCount': 76, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 431300, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Loudi'}, {'cityName': '益阳', 'currentConfirmedCount': 0, 'confirmedCount': 60, 'suspectedCount': 0, 'curedCount': 60, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 430900, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Yiyang'}, {'cityName': '衡阳', 'currentConfirmedCount': 0, 'confirmedCount': 48, 'suspectedCount': 0, 'curedCount': 48, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 430400, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Hengyang'}, {'cityName': '永州', 'currentConfirmedCount': 0, 'confirmedCount': 44, 'suspectedCount': 0, 'curedCount': 44, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 431100, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Yongzhou'}, {'cityName': '怀化', 'currentConfirmedCount': 0, 'confirmedCount': 40, 'suspectedCount': 0, 'curedCount': 40, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 431200, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Huaihua'}, {'cityName': '郴州', 'currentConfirmedCount': 0, 'confirmedCount': 39, 'suspectedCount': 0, 'curedCount': 39, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 431000, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Chenzhou'}, {'cityName': '湘潭', 'currentConfirmedCount': 0, 'confirmedCount': 36, 'suspectedCount': 0, 'curedCount': 36, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 430300, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Xiangtan'}, {'cityName': '湘西自治州', 'currentConfirmedCount': 0, 'confirmedCount': 8, 'suspectedCount': 0, 'curedCount': 8, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 433100, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Xiangxi'}, {'cityName': '张家界', 'currentConfirmedCount': 0, 'confirmedCount': 5, 'suspectedCount': 0, 'curedCount': 5, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 430800, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Zhangjiajie'}]",1621215875439
,,,,浙江,30,1355,3,1324,1,2月10日通报核减的12例在浙江省治愈的外省病例，根据国家最新要求重新纳入累计病例。,"[{'cityName': '境外输入', 'currentConfirmedCount': 30, 'confirmedCount': 136, 'suspectedCount': 2, 'curedCount': 106, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 0, 'currentConfirmedCountStr': '30'}, {'cityName': '温州', 'currentConfirmedCount': 0, 'confirmedCount': 504, 'suspectedCount': 0, 'curedCount': 503, 'deadCount': 1, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 330300, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Wenzhou'}, {'cityName': '杭州', 'currentConfirmedCount': 0, 'confirmedCount': 181, 'suspectedCount': 0, 'curedCount': 181, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 330100, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Hangzhou'}, {'cityName': '宁波', 'currentConfirmedCount': 0, 'confirmedCount': 157, 'suspectedCount': 0, 'curedCount': 157, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 330200, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Ningbo'}, {'cityName': '台州', 'currentConfirmedCount': 0, 'confirmedCount': 147, 'suspectedCount': 0, 'curedCount': 147, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 331000, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Taizhou'}, {'cityName': '金华', 'currentConfirmedCount': 0, 'confirmedCount': 55, 'suspectedCount': 0, 'curedCount': 55, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 330700, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Jinhua'}, {'cityName': '嘉兴', 'currentConfirmedCount': 0, 'confirmedCount': 46, 'suspectedCount': 0, 'curedCount': 46, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 330400, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Jiaxing'}, {'cityName': '绍兴', 'currentConfirmedCount': 0, 'confirmedCount': 42, 'suspectedCount': 0, 'curedCount': 42, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 330600, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Shaoxing'}, {'cityName': '省十里丰监狱', 'currentConfirmedCount': 0, 'confirmedCount': 36, 'suspectedCount': 0, 'curedCount': 36, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 0, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Shilifeng Prison'}, {'cityName': '丽水', 'currentConfirmedCount': 0, 'confirmedCount': 17, 'suspectedCount': 0, 'curedCount': 17, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 331100, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Lishui'}, {'cityName': '衢州', 'currentConfirmedCount': 0, 'confirmedCount': 14, 'suspectedCount': 0, 'curedCount': 14, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 330800, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Quzhou'}, {'cityName': '湖州', 'currentConfirmedCount': 0, 'confirmedCount': 10, 'suspectedCount': 0, 'curedCount': 10, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 330500, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Huzhou'}, {'cityName': '舟山', 'currentConfirmedCount': 0, 'confirmedCount': 10, 'suspectedCount': 0, 'curedCount': 10, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 330900, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Zhoushan'}]",1621215733297
